model_name,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,tp_rate_mean,tp_rate_std,fp_rate_mean,fp_rate_std
J48,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
RandomTree,0.5579166666666667,0.2317539553779683,0.5595238095238095,0.23723178560854913,0.5579166666666667,0.2317539553779683,0.5531895664248606,0.23467030245174533,0.5464285714285715,0.2735350591266658,0.42857142857142855,0.22587697572631282
REPTree,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
